city,year,weekofyear,total_cases
iq,2011,2,3
iq,2011,3,2
iq,2011,4,9
iq,2011,5,1
iq,2011,6,9
iq,2011,7,2
iq,2011,8,6
iq,2011,9,11
iq,2011,10,3
iq,2011,11,2
iq,2011,12,7
iq,2011,13,3
iq,2011,14,5
iq,2011,15,6
iq,2011,16,5
iq,2011,17,5
iq,2011,18,6
iq,2011,19,3
iq,2011,20,2
iq,2011,21,2
iq,2011,22,4
iq,2011,23,3
iq,2011,24,1
iq,2011,25,5
iq,2011,26,4
iq,2011,27,4
iq,2011,28,1
iq,2011,29,1
iq,2011,30,0
iq,2011,31,1
iq,2011,32,2
iq,2011,33,0
iq,2011,34,0
iq,2011,35,0
iq,2011,36,0
iq,2011,37,0
iq,2011,38,3
iq,2011,39,0
iq,2011,40,3
iq,2011,41,0
iq,2011,42,0
iq,2011,43,4
iq,2011,44,2
iq,2011,45,3
iq,2011,46,3
iq,2011,47,0
iq,2011,48,2
iq,2011,49,1
iq,2011,50,17
iq,2011,51,7
iq,2012,52,0
iq,2012,1,11
iq,2012,2,24
iq,2012,3,13
iq,2012,4,23
iq,2012,5,22
iq,2012,6,15
iq,2012,7,19
iq,2012,8,15
iq,2012,9,16
iq,2012,10,7
iq,2012,11,9
iq,2012,12,9
iq,2012,13,9
iq,2012,14,9
iq,2012,15,9
iq,2012,16,6
iq,2012,17,4
iq,2012,18,7
iq,2012,19,4
iq,2012,20,5
iq,2012,21,5
iq,2012,22,6
iq,2012,23,3
iq,2012,24,6
iq,2012,25,4
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,3
iq,2012,30,4
iq,2012,31,3
iq,2012,32,2
iq,2012,33,7
iq,2012,34,5
iq,2012,35,7
iq,2012,36,4
iq,2012,37,1
iq,2012,38,3
iq,2012,39,4
iq,2012,40,9
iq,2012,41,14
iq,2012,42,5
iq,2012,43,9
iq,2012,44,11
iq,2012,45,4
iq,2012,46,14
iq,2012,47,6
iq,2012,48,3
iq,2012,49,8
iq,2012,50,0
iq,2012,51,2
iq,2013,1,15
iq,2013,2,33
iq,2013,3,27
iq,2013,4,22
iq,2013,5,40
iq,2013,6,20
iq,2013,7,25
iq,2013,8,12
iq,2013,9,28
iq,2013,10,11
iq,2013,11,14
iq,2013,12,15
iq,2013,13,17
iq,2013,14,13
iq,2013,15,9
iq,2013,16,17
iq,2013,17,6
iq,2013,18,10
iq,2013,19,5
iq,2013,20,8
iq,2013,21,4
iq,2013,22,6
iq,2013,23,7
iq,2013,24,4
iq,2013,25,3
iq,2013,26,9
